-O0,11.0231,10.4521,10.4811,10.4571,10.4541,10.4401,10.1631,10.2131,10.2911,10.1891,10.4164,
-O1,13.6181,10.2421,9.12207,10.0741,10.1371,9.97207,9.36807,10.1851,10.1581,10.3541,10.323091000000002,
-O2,9.81007,9.51907,10.3301,9.53307,10.4681,9.51107,9.14306,9.45407,7.83106,9.53207,9.513174000000001,
-O3,10.5861,9.25406,9.51206,9.46607,7.91905,8.22306,15.2421,9.63207,7.93905,9.38706,9.716068000000002,
-Ofast,9.44906,7.62405,7.23905,9.13706,8.98706,10.1651,10.1761,7.71305,7.80605,10.5621,8.885867999999999,
-Os,13.1241,11.8451,12.2941,10.7691,10.8891,10.9421,10.6231,12.1801,13.1551,10.5271,11.634900000000002,
-Og,9.06106,8.99606,10.1561,9.95106,8.43705,10.0811,8.44205,10.0821,10.3811,10.2321,9.581978,
-funroll-loops,10.8321,10.4101,10.5411,11.6931,10.4991,9.77706,9.92006,12.8641,10.5221,11.9211,10.897991999999999,
-O0 -Ofast,8.24105,7.60304,9.29605,7.63904,7.64105,8.96505,7.61604,7.83404,7.51504,7.68904,8.003944,
-O0 -Os,11.1651,10.7331,10.8671,10.8911,10.5891,12.8941,10.7921,10.8081,10.9981,11.5901,11.1328,
-O0 -Og,8.88805,9.89805,8.33305,10.1221,10.6911,8.12005,9.95805,10.0061,9.80505,8.36005,9.418164999999998,
-O0 -funroll-loops,11.0311,10.4491,9.94505,10.0741,10.0781,10.1651,12.1301,9.89705,10.2731,10.5261,10.45689,
-O1 -Ofast,9.71205,7.96204,7.91004,8.09704,8.00704,7.48004,7.88904,7.46604,7.82404,7.73504,8.008241,
-O1 -Os,12.6631,10.8991,10.8711,10.8751,13.6301,10.8341,10.8311,11.5771,12.1771,10.8521,11.521,
-O1 -Og,9.11805,9.12505,9.30405,8.46504,8.64904,8.64104,8.95504,8.76204,8.57004,8.85404,8.844342999999999,
-O1 -funroll-loops,10.011,8.13104,8.36304,8.44904,8.11504,8.03104,8.18304,8.20304,7.81804,8.01504,8.331935999999999,
-O2 -Ofast,8.15604,8.01204,7.77804,7.79204,7.81304,9.22704,7.61204,7.66304,8.87604,7.68604,8.06154,
-O2 -Os,11.3071,11.3611,10.9751,10.9831,11.1981,10.8891,11.0641,11.1811,10.483,10.7011,11.014289999999999,
-O2 -Og,9.20604,8.92404,8.73904,8.61704,8.58604,9.11204,8.88004,8.94304,9.09404,8.54704,8.86484,
-O2 -funroll-loops,9.44204,8.35204,8.30304,8.35304,8.68704,8.03104,10.022,11.0851,8.45004,8.25604,8.898142,
-O3 -Ofast,8.26504,7.48103,7.48003,7.57103,7.67003,7.68703,7.74103,7.47603,7.64903,8.26504,7.7285319999999995,
-O3 -Os,11.362,15.0981,13.3471,12.9631,12.3761,14.9801,13.1581,16.3371,11.317,20.8381,14.17768,
-O3 -Og,14.1091,12.9731,10.023,9.80504,35.0531,13.5161,8.71804,8.45004,22.7361,9.05204,14.443565999999999,
-O3 -funroll-loops,11.073,8.90904,12.8501,8.01903,8.46203,8.35004,8.26504,12.8411,11.37,8.55304,9.869242,
